trace,sets,ways,block_bytes,capacity_bytes,write_alloc,write_policy,eviction,total_loads,total_stores,load_hits,load_misses,store_hits,store_misses,total_accesses,load_miss_rate,store_miss_rate,overall_miss_rate,total_cycles,cycles_per_access
traces/gcc.trace,8,8,64,4096,no-write-allocate,write-through,fifo,318197,197486,309192,9005,168755,28731,515683,0.02830007825340905,0.14548373049228805,0.07317673842263561,34672283,67.23565252296468
traces/gcc.trace,8,8,64,4096,no-write-allocate,write-through,lru,318197,197486,311292,6905,169908,27578,515683,0.021700393152669573,0.13964534194829,0.06686859950783718,31312283,60.72002179633612
traces/gcc.trace,8,8,64,4096,write-allocate,write-back,fifo,318197,197486,309986,8211,193782,3704,515683,0.025804768743891364,0.018755759901967733,0.023105279793981963,28678883,55.61339621434098
traces/gcc.trace,8,8,64,4096,write-allocate,write-back,lru,318197,197486,312076,6121,194211,3275,515683,0.019236510715060166,0.01658345401699361,0.01822049592482203,22872483,44.353765782467136
traces/gcc.trace,8,8,64,4096,write-allocate,write-through,fifo,318197,197486,309986,8211,193782,3704,515683,0.025804768743891364,0.018755759901967733,0.023105279793981963,39328283,76.26445510129285
traces/gcc.trace,8,8,64,4096,write-allocate,write-through,lru,318197,197486,312076,6121,194211,3275,515683,0.019236510715060166,0.01658345401699361,0.01822049592482203,35297883,68.44880091063696
traces/gcc.trace,4,16,64,4096,no-write-allocate,write-through,fifo,318197,197486,309352,8845,168717,28769,515683,0.02779724510287652,0.145676149195386,0.07294015897363303,34416283,66.73922351522157
traces/gcc.trace,4,16,64,4096,no-write-allocate,write-through,lru,318197,197486,311628,6569,171661,25825,515683,0.020644443536551257,0.1307687633553771,0.06281766123762078,30774683,59.67752088007555
traces/gcc.trace,4,16,64,4096,write-allocate,write-back,fifo,318197,197486,310174,8023,193821,3665,515683,0.02521393979201564,0.01855827754878827,0.022665086884772236,28126883,54.54297116639486
traces/gcc.trace,4,16,64,4096,write-allocate,write-back,lru,318197,197486,312471,5726,194241,3245,515683,0.01799514137468298,0.016431544514547865,0.017396346204935978,21896483,42.461130190446454
traces/gcc.trace,4,16,64,4096,write-allocate,write-through,fifo,318197,197486,310174,8023,193821,3665,515683,0.02521393979201564,0.01855827754878827,0.022665086884772236,38965083,75.56014644655728
traces/gcc.trace,4,16,64,4096,write-allocate,write-through,lru,318197,197486,312471,5726,194241,3245,515683,0.01799514137468298,0.016431544514547865,0.017396346204935978,34617883,67.13016135881928
traces/gcc.trace,32,1,128,4096,no-write-allocate,write-through,fifo,318197,197486,288497,29700,163824,33662,515683,0.0933384035676012,0.17045258904428667,0.12287005776804742,115304283,223.59527655555834
traces/gcc.trace,32,1,128,4096,no-write-allocate,write-through,lru,318197,197486,288497,29700,163824,33662,515683,0.0933384035676012,0.17045258904428667,0.12287005776804742,115304283,223.59527655555834
traces/gcc.trace,32,1,128,4096,write-allocate,write-back,fifo,318197,197486,288709,29488,190449,7037,515683,0.0926721496431456,0.03563290562368978,0.07082839651491322,163021283,316.1269287527415
traces/gcc.trace,32,1,128,4096,write-allocate,write-back,lru,318197,197486,288709,29488,190449,7037,515683,0.0926721496431456,0.03563290562368978,0.07082839651491322,163021283,316.1269287527415
traces/gcc.trace,32,1,128,4096,write-allocate,write-through,fifo,318197,197486,288709,29488,190449,7037,515683,0.0926721496431456,0.03563290562368978,0.07082839651491322,137144283,265.946876278644
traces/gcc.trace,32,1,128,4096,write-allocate,write-through,lru,318197,197486,288709,29488,190449,7037,515683,0.0926721496431456,0.03563290562368978,0.07082839651491322,137144283,265.946876278644
traces/gcc.trace,16,2,128,4096,no-write-allocate,write-through,fifo,318197,197486,297366,20831,163153,34333,515683,0.06546573349214481,0.17385029824898982,0.10697269446539831,86923483,168.5599156846357
traces/gcc.trace,16,2,128,4096,no-write-allocate,write-through,lru,318197,197486,299668,18529,169377,28109,515683,0.058231221538858007,0.14233414014157966,0.09043928149657833,79557083,154.2751709868272
traces/gcc.trace,16,2,128,4096,write-allocate,write-back,fifo,318197,197486,298516,19681,193074,4412,515683,0.06185162022269223,0.02234082415968727,0.04672056282638753,107136483,207.75647636241644
traces/gcc.trace,16,2,128,4096,write-allocate,write-back,lru,318197,197486,300564,17633,193673,3813,515683,0.055415355895875824,0.019307697760853934,0.041587564453356034,93933283,182.15315028806458
traces/gcc.trace,16,2,128,4096,write-allocate,write-through,fifo,318197,197486,298516,19681,193074,4412,515683,0.06185162022269223,0.02234082415968727,0.04672056282638753,97361883,188.8018084753618
